"","P.Length","P.Width","Species","P.Area"
"1",1.4,0.2,"setosa",0.28
"2",1.4,0.2,"setosa",0.28
"3",1.3,0.2,"setosa",0.26
"4",1.5,0.2,"setosa",0.3
"5",1.4,0.2,"setosa",0.28
"6",1.7,0.4,"setosa",0.68
"7",1.4,0.3,"setosa",0.42
"8",1.5,0.2,"setosa",0.3
"9",1.4,0.2,"setosa",0.28
"10",1.5,0.1,"setosa",0.15
"11",1.5,0.2,"setosa",0.3
"12",1.6,0.2,"setosa",0.32
"13",1.4,0.1,"setosa",0.14
"14",1.1,0.1,"setosa",0.11
"15",1.2,0.2,"setosa",0.24
"16",1.5,0.4,"setosa",0.6
"17",1.3,0.4,"setosa",0.52
"18",1.4,0.3,"setosa",0.42
"19",1.7,0.3,"setosa",0.51
"20",1.5,0.3,"setosa",0.45
"21",1.7,0.2,"setosa",0.34
"22",1.5,0.4,"setosa",0.6
"23",1,0.2,"setosa",0.2
"24",1.7,0.5,"setosa",0.85
"25",1.9,0.2,"setosa",0.38
"26",1.6,0.2,"setosa",0.32
"27",1.6,0.4,"setosa",0.64
"28",1.5,0.2,"setosa",0.3
"29",1.4,0.2,"setosa",0.28
"30",1.6,0.2,"setosa",0.32
"31",1.6,0.2,"setosa",0.32
"32",1.5,0.4,"setosa",0.6
"33",1.5,0.1,"setosa",0.15
"34",1.4,0.2,"setosa",0.28
"35",1.5,0.2,"setosa",0.3
"36",1.2,0.2,"setosa",0.24
"37",1.3,0.2,"setosa",0.26
"38",1.4,0.1,"setosa",0.14
"39",1.3,0.2,"setosa",0.26
"40",1.5,0.2,"setosa",0.3
"41",1.3,0.3,"setosa",0.39
"42",1.3,0.3,"setosa",0.39
"43",1.3,0.2,"setosa",0.26
"44",1.6,0.6,"setosa",0.96
"45",1.9,0.4,"setosa",0.76
"46",1.4,0.3,"setosa",0.42
"47",1.6,0.2,"setosa",0.32
"48",1.4,0.2,"setosa",0.28
"49",1.5,0.2,"setosa",0.3
"50",1.4,0.2,"setosa",0.28
"51",4.7,1.4,"versicolor",6.58
"52",4.5,1.5,"versicolor",6.75
"53",4.9,1.5,"versicolor",7.35
"54",4,1.3,"versicolor",5.2
"55",4.6,1.5,"versicolor",6.9
"56",4.5,1.3,"versicolor",5.85
"57",4.7,1.6,"versicolor",7.52
"58",3.3,1,"versicolor",3.3
"59",4.6,1.3,"versicolor",5.98
"60",3.9,1.4,"versicolor",5.46
"61",3.5,1,"versicolor",3.5
"62",4.2,1.5,"versicolor",6.3
"63",4,1,"versicolor",4
"64",4.7,1.4,"versicolor",6.58
"65",3.6,1.3,"versicolor",4.68
"66",4.4,1.4,"versicolor",6.16
"67",4.5,1.5,"versicolor",6.75
"68",4.1,1,"versicolor",4.1
"69",4.5,1.5,"versicolor",6.75
"70",3.9,1.1,"versicolor",4.29
"71",4.8,1.8,"versicolor",8.64
"72",4,1.3,"versicolor",5.2
"73",4.9,1.5,"versicolor",7.35
"74",4.7,1.2,"versicolor",5.64
"75",4.3,1.3,"versicolor",5.59
"76",4.4,1.4,"versicolor",6.16
"77",4.8,1.4,"versicolor",6.72
"78",5,1.7,"versicolor",8.5
"79",4.5,1.5,"versicolor",6.75
"80",3.5,1,"versicolor",3.5
"81",3.8,1.1,"versicolor",4.18
"82",3.7,1,"versicolor",3.7
"83",3.9,1.2,"versicolor",4.68
"84",5.1,1.6,"versicolor",8.16
"85",4.5,1.5,"versicolor",6.75
"86",4.5,1.6,"versicolor",7.2
"87",4.7,1.5,"versicolor",7.05
"88",4.4,1.3,"versicolor",5.72
"89",4.1,1.3,"versicolor",5.33
"90",4,1.3,"versicolor",5.2
"91",4.4,1.2,"versicolor",5.28
"92",4.6,1.4,"versicolor",6.44
"93",4,1.2,"versicolor",4.8
"94",3.3,1,"versicolor",3.3
"95",4.2,1.3,"versicolor",5.46
"96",4.2,1.2,"versicolor",5.04
"97",4.2,1.3,"versicolor",5.46
"98",4.3,1.3,"versicolor",5.59
"99",3,1.1,"versicolor",3.3
"100",4.1,1.3,"versicolor",5.33
"101",6,2.5,"virginica",15
"102",5.1,1.9,"virginica",9.69
"103",5.9,2.1,"virginica",12.39
"104",5.6,1.8,"virginica",10.08
"105",5.8,2.2,"virginica",12.76
"106",6.6,2.1,"virginica",13.86
"107",4.5,1.7,"virginica",7.65
"108",6.3,1.8,"virginica",11.34
"109",5.8,1.8,"virginica",10.44
"110",6.1,2.5,"virginica",15.25
"111",5.1,2,"virginica",10.2
"112",5.3,1.9,"virginica",10.07
"113",5.5,2.1,"virginica",11.55
"114",5,2,"virginica",10
"115",5.1,2.4,"virginica",12.24
"116",5.3,2.3,"virginica",12.19
"117",5.5,1.8,"virginica",9.9
"118",6.7,2.2,"virginica",14.74
"119",6.9,2.3,"virginica",15.87
"120",5,1.5,"virginica",7.5
"121",5.7,2.3,"virginica",13.11
"122",4.9,2,"virginica",9.8
"123",6.7,2,"virginica",13.4
"124",4.9,1.8,"virginica",8.82
"125",5.7,2.1,"virginica",11.97
"126",6,1.8,"virginica",10.8
"127",4.8,1.8,"virginica",8.64
"128",4.9,1.8,"virginica",8.82
"129",5.6,2.1,"virginica",11.76
"130",5.8,1.6,"virginica",9.28
"131",6.1,1.9,"virginica",11.59
"132",6.4,2,"virginica",12.8
"133",5.6,2.2,"virginica",12.32
"134",5.1,1.5,"virginica",7.65
"135",5.6,1.4,"virginica",7.84
"136",6.1,2.3,"virginica",14.03
"137",5.6,2.4,"virginica",13.44
"138",5.5,1.8,"virginica",9.9
"139",4.8,1.8,"virginica",8.64
"140",5.4,2.1,"virginica",11.34
"141",5.6,2.4,"virginica",13.44
"142",5.1,2.3,"virginica",11.73
"143",5.1,1.9,"virginica",9.69
"144",5.9,2.3,"virginica",13.57
"145",5.7,2.5,"virginica",14.25
"146",5.2,2.3,"virginica",11.96
"147",5,1.9,"virginica",9.5
"148",5.2,2,"virginica",10.4
"149",5.4,2.3,"virginica",12.42
"150",5.1,1.8,"virginica",9.18
